hellowello	`hɛ.ləʊ.'ɛ.ləʊ
copy--as	'kɑ.pɪ.æz
zoroastrians	zɔː.'ɹəʊ.stɹeɪ.ʌnz
oat-cake--not	'əʊt.'keɪk.'nɑt
right--heathen	'ɹaɪt.'hi.ðʌn
revengeful	ɹɪ.'vɛndʒ.fʌl
xxxvii	`ɹəʊ.mʌn.'θəː.tɪ.'sɛ.vʌn
clothes-pegs--fried	'kləʊðz.'pɛɡz.'fɹaɪd
bells--never	'bɛlz.'nɛ.vʌ
soon--but	'sʉːn.`bʌt
jabberers	'dʒæ.bʌ.ɹʌz
moment--and	'məʊ.mʌn.tænd
thousands--but	'θaʊ.zʌndz.`bʌt
letters--you	'lɛ.tʌz.jʉː
unpresuming	ʌn.pɹɪz.'jʉː.mɪŋ
head--squat	'hɛd.'skwɑt
mist--some	'mɪst.`sʌm
cviii	'si.'vɪ.ɪ.`aɪ
eyes--let	'aɪz.'lɛt
lv	`ɛl.'vi
craignish	'kɹeɪ.nɪʃ
hogarth's	'hɑ.ɡɑθ.'bæk.slæ.'ʃɛs
world--i	'wəːl.'daɪ
coolish	'kʉː.lɪʃ
men--i	'mɛ.'naɪ
ducks--one	'dʌk.`swɑn
top--to	'tɑp.tʉː
enjoyment--and	ɛn.'dʒɔɪ.mʌn.tænd
pots--either	'pɑt.'saɪ.ðʌ
cross-scribe	'kɹɑs.'skɹaɪb
anecdotes--i	'æ.nɪk.`dəʊt.'saɪ
fortnight--and	'fɔːt.naɪ.tænd
wight--i	'waɪ.'taɪ
all--that	'ɔːl.'ðæt
smoke--i	'sməʊ.'kaɪ
fiend--but	'find.`bʌt
twig-manufacturer	'twɪɡ.`mæn.jʉː.'fæk.tʃʌ.ɹʌ
105	'wɑn.'hʌn.dɹʌ.dʌn.'faɪv
world--and	'wəːl.dænd
daughters--nothing	'dɔː.tʌz.'nʌ.θɪŋ
it--on	ɪ.'tɑn
cxxxi	`si.`ɛk.'sɛk.`sɛk.'saɪ
england--because	'ɪŋ.ɡlʌnd.bɪ.'kʌz
professes--he	pɹʌ.'fɛ.sɪz.hi
real--but	'ɹeɪ.ʌl.`bʌt
volo	'vəʊ.ləʊ
lxxii	`ɛ.'lɛks.'zɪ.aɪ
not--i	`nɑ.'taɪ
death-warrant	'dɛ.'θwɑ.ɹʌnt
self-defence	'sɛlf.dɪ.'fɛns
this--though	ðɪs.'ðəʊ
19th--i	'naɪn.tin.'θaɪ
lxxix	`ɛ.'lɛks.'zɪks
neuk	'njʉːk
now--aye	'naʊ.'aɪ
mess--which	'mɛ.'swɪtʃ
colnaghi's	kʌl.'næɡ.hɪ.'bæk.slæ.'ʃɛs
northcote--hilton--bewick	'nɔːθ.kəʊt.'hɪl.tʌn.bɪ.'wɪk
you--more	jʉː.'mɔː
eggs--the	'ɛɡz.ðʌ
object--but	'ɑb.dʒɛkt.`bʌt
lvi	`ɛl.`vi.'aɪ
lxviii	`ɛ.'lɛks.'vɪ.ɪ.`aɪ
information--whether	`ɪn.fʌ.'meɪ.ʃʌn.'wɛ.ðʌ
hereaways	'heɪ.ʌ.ɹʌ.`weɪz
moreover-est	mɔː.'ɹəʊ.vʌ.`ɹi.`ɛ.'sti
unmeridian'd	ʌn.mɛ.'ɹɪ.deɪ.ʌn.'bæk.slæʃ.'di
new--atkins	'njʉː.'æt.kɪnz
gothique--a	ɡʌ.'θi.'keɪ
alterers	'ɑl.tʌ.ɹʌz
out-o'-the-wayest	'aʊ.'təʊ.'bæk.slæʃ.ðʌ.'weɪ.ʌst
well-wishes	'wɛl.'wɪ.ʃɪz
you--yet	jʉː.'jɛt
infatuated--there's	ɪn.'fæ.tʃʉː.`eɪ.tɪd.ðəː.'bæk.slæ.'ʃɛs
sails--and	'seɪl.zænd
conquered--i	'kɑn.kʌ.'daɪ
off--and	'ɑ.fænd
saucers--agonised	'sɔː.sʌ.'zæ.ɡʌ.`naɪzd
cxliii	`si.'ɛk.'slɪ.ɪ.`aɪ
well--20	'wɛl.'twɛn.tɪ
one--kissed	'wɑn.'kɪst
received--though	ɹɪ.'sivd.`ðəʊ
burns--damn	'bəːnz.'dæm
skye	'skaɪ
abbotine	'æ.bʌ.`tin
gown--but	'ɡaʊn.`bʌt
untorn	ʌn.'tɔːn
things--so	'θɪŋz.'səʊ
etherealised	i.'θeɪ.ʌ.ɹɪ.ʌ.`laɪzd
voyage--have	'vɔɪ.ɪdʒ.'hæv
paramours	'pæ.ɹʌ.`mʊəz
there--rice	ðəː.'ɹaɪs
scribbling--i	'skɹɪ.blɪŋ.'aɪ
tippler	'tɪ.plʌ
america--but	ʌ.'mɛ.ɹɪ.kʌ.`bʌt
thick--with	'θɪ.kwɪð
twang-dillo-dee--this	'twæŋ.'dɪ.ləʊ.'di.'ðɪs
out-of-the-way	`aʊ.tʌv.ðʌ.'weɪ
nothing--let	'nʌ.θɪŋ.'lɛt
smollett	'smɑ.lɪt
learning--get	'ləː.nɪŋ.'ɡɛt
21	'twɛn.tɪ.'wɑn
walk--you	'wɔː.kjʉː
bent--nor	'bɛnt.'nɔː
pleasure--we	'plɛ.ʒʌ.wi
118	'wɑn.'hʌn.dɹʌ.dʌ.'neɪ.tin
deptford	dɪpt.'fɔːd
him--remember	`hɪm.ɹɪ.'mɛm.bʌ
wary--but	'wəː.ɹɪ.`bʌt
lullaby-by	'lʌ.lʌ.`baɪ.'baɪ
picture--his	'pɪk.tʃʌ.'hɪz
friends--'tis	'fɹɛndz.'bæk.slæʃ.'tɪz
know--not	'nəʊ.'nɑt
zigzags--whether	'zɪɡ.zæɡz.'wɛ.ðʌ
equidistances	`i.kwɪ.'dɪ.stʌn.sɪz
con-ing	'kɑ.'nɪŋ
lurch--with	'ləːtʃ.wɪð
sickening--to-day	'sɪ.kʌ.nɪŋ.tʌ.'deɪ
of--much	ɑv.'mʌtʃ
without--if	wɪ.'ðaʊ.tɪf
reperception	ɹɪ.pʌ.'sɛp.ʃʌn
on--smother	`ɑn.'smʌ.ðʌ
write--though	'ɹaɪt.`ðəʊ
sea--oh	'si.'əʊ
here--dilke	'heɪ.ʌ.'dɪlk
sets--mr	'sɛt.'smɪ.stʌ
alston's	'æl.stʌn.'bæk.slæ.'ʃɛs
rotatory	'ɹəʊ.tʌ.tʌ.`ɹɪ
79	'sɛ.vʌn.tɪ.'naɪn
unmodernise	ʌn.'mɑ.dʌ.`naɪz
cumberland--well	'kʌm.bʌ.lʌn.'dwɛl
last--and	'læ.stænd
wonders--now	'wʌn.dʌz.'naʊ
divine--who	dɪ.'vaɪn.'hʉː
content--and	'kɑn.tɛn.tænd
letter--tom	'lɛ.tʌ.'tɑm
so-and-so--miss	`səʊ.ænd.`səʊ.'mɪs
fellow--remember	'fɛ.ləʊ.ɹɪ.'mɛm.bʌ
hypercriticism	`haɪ.pʌ.'kɹɪ.tɪ.`sɪ.zʌm
dog-cart	'dɑɡ.'kɑt
flageolet--however	'fleɪ.dʒɑ.lʌt.haʊ.'ɛ.vʌ
rum-ti-ti--you	'ɹʌm.'taɪ.'taɪ.jʉː
repulsiveness--the	ɹɪ.'pʌl.sɪv.nʌs.ðʌ
style--you	'staɪl.jʉː
re-cast	`ɹi.'kæst
journey--so	'dʒəː.nɪ.'səʊ
cockled	'kɑ.kʌld
antiquary	'æn.tɪ.kwʌ.ɹɪ
mist--a	'mɪ.'steɪ
prosing	'pɹəʊ.zɪŋ
vapourish	'veɪ.pʌ.ɹɪʃ
xxxvi	`ɹəʊ.mʌn.'θəː.tɪ.'sɪks
man--they	'mæn.ðeɪ
along--and	ʌ.'lɑŋ.ænd
poncas	'pɑn.kʌz
characteristic--the	`kæ.ɹɪk.tʌ.'ɹɪ.stɪk.ðʌ
cloud-strata	'klaʊd.'stɹɑ.tʌ
53	'fɪf.tɪ.'θɹi
hastening--and	'heɪ.stʌ.nɪŋ.ænd
religious--which	ɹɪ.'lɪ.dʒʌ.'swɪtʃ
reforms--i	ɹɪ.'fɔːm.'zaɪ
91	'naɪn.tɪ.'wɑn
spiritual-woman	'spɪ.ɹɪ.`tʃʉː.ʌl.'wʊə.mʌn
secluded-beautiful	sɪ.'klʉː.dɪd.'bjʉː.tɪ.fʌl
jack-straws	'dʒæk.'stɹɔːz
sect--that	'sɛkt.'ðæt
england--were	'ɪŋ.ɡlʌn.dwəː
street-crowds	'stɹit.'kɹaʊdz
patchouly	'pæ.tʃʉː.lɪ
side--i	'saɪ.'daɪ
much-restored	'mʌtʃ.ɹɪ.'stɔːd
handling--quite	'hænd.lɪŋ.'kwaɪt
able-looking	'eɪ.bʌl.'lʊə.kɪŋ
ours--fully	'aʊ.ʌz.'fʊə.lɪ
stage--some	'steɪdʒ.`sʌm
classes--to	'klæ.sɪz.tʉː
laugh--but	'læf.`bʌt
wing-and-wing	'wɪŋ.æn.'dwɪŋ
experiences--what	ɛk.'speɪ.ʌ.ɹɪ.ʌn.sɪz.'wɑt
never-achiev'd	'nɛ.vʌ.ɹʌ.'tʃiv.'bæk.slæʃ.'di
half-slaughter'd	'hɑf.'slɔː.tʌ.'bæk.slæʃ.'di
conveyance--the	kʌn.'veɪ.ʌns.ðʌ
everywhere--the	'ɛv.ɹɪ.`wəː.ðʌ
supersensual	'sʉː.pʌ.`sɛns.jʉː.ʌl
hold-together	'həʊld.tʌ.'ɡɛ.ðʌ
lightning-flashes	'laɪt.nɪŋ.'flæ.ʃɪz
work-a-day	'wəː.kʌ.'deɪ
go-befores	`ɡəʊ.bɪ.'fɔːz
spirits-of-the-dead	'spɪ.ɹɪt.sɑv.ðʌ.'dɛd
age--it	'eɪ.dʒɪt
floating-flying	'fləʊ.tɪŋ.'flaɪ.ɪŋ
burleighs	'bəː.liz
donau	'dɑ.naʊ
different--at	'dɪ.fɹʌn.tæt
lost--here	'lɑst.'heɪ.ʌ
too--let	'tʉː.'lɛt
law--generally	'lɔː.'dʒɛ.nʌ.ɹʌ.lɪ
jokes--like	'dʒəʊk.'slaɪk
mass--the	'mæs.ðʌ
circumstances--their	'səː.kʌm.`stæn.sɪz.ðəː
idea--to	aɪ.'deɪ.ʌ.tʉː
fortifies	'fɔː.tɪ.`faɪz
lick-skillet	'lɪk.'skɪ.lɪt
illinois--general	`ɪ.lʌ.'nɔɪ.'dʒɛ.nʌ.ɹʌl
earth--he	'əːθ.hi
22d	'twɛn.tɪ.'tʉː.'di
speeches--no	'spi.tʃɪz.'nəʊ
bryant--meditative	'bɹaɪ.ʌnt.'mɛ.dɪ.`teɪ.tɪv
sun--beautiful	'sʌn.'bjʉː.tɪ.fʌl
aroma--amid	ʌ.'ɹəʊ.mʌ.ʌ.'mɪd
1833-4-5	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'θɹi.'dæʃ.'fɔː.'dæʃ.'faɪv
comprehenders	`kɑm.pɹɪ.'hɛn.dʌz
entrances--approaching	'ɛn.tɹʌn.sɪ.zʌ.'pɹəʊ.tʃɪŋ
it--was	ɪ.'twɑz
jimplecute	'dʒɪm.plɪ.`kjʉːt
trilogy--or	'tɹɪ.lʌ.`dʒɪ.ɔː
paymaster	'peɪ.mæ.stʌ
school-masters	'skʉːl.'mæ.stʌz
there--to	'ðəː.tʉː
reactionist	ɹɪ.'æk.ʃʌ.`nɪst
poseys	'pəʊ.sɪz
bristle-brush--sometimes	'bɹɪ.sʌl.'bɹʌʃ.'sʌm.taɪmz
seductions	sɪ.'dʌk.ʃʌnz
nettleship	'nɛ.tʌl.`ʃɪp
ladies--wrathful	'leɪ.dɪz.'ɹæθ.fʌl
well-written	'wɛl.'ɹɪ.tʌn
topmost	'tɑp.məʊst
consumed--quite	kʌn.'sʉːmd.'kwaɪt
circumnavigates	`səː.kʌm.'næ.vɪ.`ɡeɪts
belle-isle	'bɛ.'laɪ.ʌl
seeds--a	'sid.'zeɪ
tippecanoe	'tɪ.pɪ.`kæ.nəʊ
lichen--those	'laɪ.kʌn.'ðəʊz
1692	'wɑn.'θaʊ.zʌnd.'sɪks.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'tʉː
thrice--our	'θɹaɪ.saʊ.ʌ
god-inculcating	'ɡɑ.'dɪn.kʌl.`keɪ.tɪŋ
oak--a	'əʊ.'keɪ
half-delicious	'hɑf.dɪ.'lɪ.ʃʌs
toned-down	'təʊnd.'daʊn
long--sits	'lɑŋ.'sɪts
extempore	ɛk.'stɛm.pɔː
own--with	'əʊn.wɪð
south--and	'saʊ.θænd
marbly	'mɑ.blɪ
babbles	'bæ.bʌlz
combiner	kʌm.'bɪ.nʌ
pawn-shop	'pɔːn.'ʃɑp
unpolluted	ʌn.pʌ.'lʉː.tɪd
before--the	bɪ.'fɔː.ðʌ
times--needs	'taɪmz.'nidz
thought--this	'θɔːt.'ðɪs
ideas--first	aɪ.'deɪ.ʌz.'fəːst
legibly	'lɛ.dʒʌ.blɪ
rest--the	'ɹɛst.ðʌ
water-baths	'wɔː.tʌ.'bæθs
you--as	jʉː.'æz
hawk--i	'hɔː.'kaɪ
happy--to	'hæ.pɪ.tʉː
largest--come	'lɑ.dʒʌst.'kʌm
ventur'd	'vɛn.tʃʌ.'bæk.slæʃ.'di
door-stone	'dɔː.'stəʊn
divertisement	daɪ.'vəː.taɪz.mʌnt
old--the	'əʊld.ðʌ
on--peculiar	`ɑn.pɪ.'kjʉː.leɪ.ʌ
art-union	'ɑt.'jʉː.neɪ.ʌn
artist-sense	'ɑ.tɪst.'sɛns
fly--mountains	'flaɪ.'maʊn.tɪnz
chiaroscuro	`tʃaɪ.ʌ.ɹʌ.'skjʊə.ɹəʊ
foppish	'fɑ.pɪʃ
receptacle-book	ɹɪ.'sɛp.tʌ.kʌl.'bʊək
that--remembering	ðæ.tɹɪ.'mɛm.bʌ.ɹɪŋ
club-suppers	'klʌb.'sʌ.pʌz
death--now	'dɛθ.'naʊ
comet--have	'kɑ.mɪt.'hæv
brutus--john	'bɹʉː.tʌs.'dʒɑn
gostick's	'ɡɑ.stɪk.'bæk.slæ.'ʃɛs
beauty--amid	'bjʉː.tɪ.ʌ.'mɪd
th'oppress'd	`ti.'eɪtʃ.'bæk.slæ.ʃʌ.'pɹɛs.'bæk.slæʃ.'di
fair-opening	'fəː.'ɹəʊ.pʌ.nɪŋ
well-pleas'd	'wɛl.'pliz.'bæk.slæʃ.'di
all-seeing	'ɔːl.'si.ɪŋ
gilds	'ɡɪldz
poult'rers	'pəʊlt.'bæk.slæ.ʃɹʌz
whor'd	'wɔː.'bæk.slæʃ.'di
unhallow'd	ʌn.'hæ.ləʊ.'bæk.slæʃ.'di
well-dissembled	'wɛl.dɪ.'sɛm.bʌld
maturer	mʌ.'tʃʊə.ɹʌ
landskip	'lænd.skɪp
folly's	'fɑ.lɪ.'bæk.slæ.'ʃɛs
th'obliging	`ti.'eɪtʃ.'bæk.slæ.ʃʌ.'blaɪ.dʒɪŋ
libell'd	'laɪ.bɛl.'bæk.slæʃ.'di
noisom	'nɔɪ.sʌm
inclin'd	ɪn.'klɪn.'bæk.slæʃ.'di
amaz'd	ʌ.'meɪz.'bæk.slæʃ.'di
dotard	'dɑ.tɑd
wind-pipe	'wɪnd.'paɪp
cantharides	'kæn.θɑ.`ɹaɪdz
sick'ning	'sɪk.'bæk.slæʃ.'nɪŋ
nemea's	'nɛ.meɪ.ʌ.'bæk.slæ.'ʃɛs
mycenè	'maɪ.sin
dissolv'd	dɪ.'sɑlv.'bæk.slæʃ.'di
reserv'd	ɹɪ.'səːv.'bæk.slæʃ.'di
th'imperious	`ti.'eɪtʃ.'bæk.slæ.ʃɪm.'peɪ.ʌ.ɹɪ.ʌs
observ'd	ɑb.'zəːv.'bæk.slæʃ.'di
thund'ring	'θʌnd.'bæk.slæ.'ʃɹɪŋ
chanc'd	'tʃænk.'bæk.slæʃ.'di
circe's	'səː.sɪ.'bæk.slæ.'ʃɛs
undeceive	`ʌn.dɪ.'siv
pyrate	'pɪ.ɹeɪt
tyro	'taɪ.ɹəʊ
th'imperial	`ti.'eɪtʃ.'bæk.slæ.ʃɪm.'peɪ.ʌ.ɹɪ.ʌl
proteus	'pɹəʊ.tɪ.ʌs
pow'rful	'paʊ.'bæk.slæ.'ʃɑ.'fʌl
cynthus	'sɪn.θʌs
ridotta	'ɹɪ.dɑ.tʌ
unaw'd	ʌ.'nɔː.'bæk.slæʃ.'di
cyrene	'saɪ.ɹin
courtship--or	'kɔː.tʃɪ.pɔː
dispositions--and	`dɪ.spʌ.'zɪ.ʃʌn.zænd
pantomimical	`pæn.tʌ.'mɪ.mɪ.kʌl
not--there	`nɑt.'ðəː
quand	'kwɑnd
you--so	jʉː.'səʊ
corpulent	'kɔː.pjʊə.lʌnt
tits	'tɪts
office--but	'ɑ.fɪs.`bʌt
gallipots	'ɡæ.lɪ.`pɑts
man--look	'mæn.'lʊək
day--i'll	'deɪ.'aɪ.'bæk.slæ.`ʃɛ.'lɛl
beauty--and	'bjʉː.tɪ.ænd
quickset	'kwɪk.sɛt
coleridge--i	'kəʊl.ɹɪ.'dʒaɪ
table--whereby	'teɪ.bʌl.'wəː.baɪ
whole--even	'həʊ.'li.vʌn
gracious--he	'ɡɹeɪ.ʃʌs.hi
sheil's	'ʃeɪl.'bæk.slæ.'ʃɛs
xvi	`ɹəʊ.mʌn.'sɪk.stin
turnpikemen	'təːn.paɪk.`mɛn
dorking--to	'dɔː.kɪŋ.tʉː
better--but	'bɛ.tʌ.`bʌt
moor's	'mʊə.'bæk.slæ.'ʃɛs
catgut	'kæt.ɡʌt
picture--and	'pɪk.tʃʌ.ænd
me--however	`mi.haʊ.'ɛ.vʌ
ruin--one	'ɹʉː.ɪn.`wɑn
reynolds--it	'ɹɛ.nʌld.zɪt
speak--your	'spi.kjɔː
letter--by	'lɛ.tʌ.'baɪ
no--but	'nəʊ.`bʌt
nature--i	'neɪ.tʃʌ.'aɪ
written--is	'ɹɪ.tʌ.nɪz
arm--they	'ɑm.ðeɪ
mine--you	'maɪn.jʉː
rise_--of	'ɹaɪ.zɑv
winander	'wɪ.næn.dʌ
dilke--since	'dɪlk.'sɪns
stanzas--i	'stæn.zʌ.'zaɪ
wednesday--tell	'wɛnz.deɪ.'tɛl
tottenham--and	'tɑ.tʌ.nʌ.mænd
awake--with	ʌ.'weɪ.kwɪð
reynolds--my	'ɹɛ.nʌldz.'maɪ
forget--in	fʌ.'ɡɛ.'tɪn
yoursel	'jɔː.sʌl
body--the	'bɑ.dɪ.ðʌ
middle-sized	'mɪ.dʌl.'saɪzd
xciv	'ɛks.'sɪv
me--but	`mi.'bʌt
itself--the	ɪt.'sɛlf.ðʌ
180-190	'wɑn.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'dæ.'ʃwɑn.'hʌn.dɹʌ.dʌn.'naɪn.tɪ
letter-writing	'lɛ.tʌ.'ɹaɪ.tɪŋ
xxxi	`ɹəʊ.mʌn.'θəː.tɪ.'wɑn
mil_a_tary	'mɪ.lʌ.'təː.ɹɪ
prometheus	pɹəʊ.'mi.θɪ.ʌs
do--but	'dʉː.`bʌt
indolence--so	'ɪn.dʌ.lʌns.'səʊ
gutenberg-tm's	'ɡjʉː.tʌn.`bəːɡ.`ti.'ɛm.'bæk.slæ.'ʃɛs
me--none	`mi.'nʌn
pulvis	'pʌl.vɪs
coal-heaver	'kəʊl.'hi.vʌ
at--it	æ.'tɪt
yesterday--scarcely	'jɛ.stʌ.`deɪ.'skəː.slɪ
malvolio	mæl.'vəʊ.lɪ.`əʊ
oman--but	əʊ.'mæn.`bʌt
place--brown	'pleɪs.'bɹaʊn
please--i	'pli.'zaɪ
skinny-lidded	'skɪ.nɪ.'lɪ.dɪd
world--some	'wəːld.`sʌm
send--i	'sɛn.'daɪ
forebodings	'fɔː.bəʊ.dɪŋz
lxiv	'ɛl.'zɪv
haydon--when	'heɪ.dɑn.'wɛn
him--he	'hɪm.hi
irretrievable	ɪ.ɹɪ.'tɹi.vʌ.bʌl
haslam--remaining	'hæ.slæm.ɹɪ.'meɪ.nɪŋ
related--those	ɹɪ.'leɪ.tɪd.'ðəʊz
fast--i	'fæ.'staɪ
been--but	`bin.'bʌt
maybole	'meɪ.bəʊl
cleopatra--falstaff	klɪ.ʌ.'pɑ.tɹʌ.'fɑl.stæf
rounded--but	'ɹaʊn.dɪd.`bʌt
yet--he	'jɛt.hi
thing--merely	'θɪŋ.'meɪ.ʌ.lɪ
hindoos	'hɪn.dʉːz
make--at	'meɪ.kæt
madam--it	'mæ.dʌ.mɪt
swimmingly	'swɪ.mɪŋ.lɪ
keats--my--go-o-ood	'kit.smaɪ.`ɡəʊ.'əʊ.'ʉːd
parts--seven	'pɑts.'sɛ.vʌn
worth--for	'wəːθ.fɔː
maximus	'mæk.sɪ.mʌs
jemmy	'dʒɛ.mɪ
fingal's	'fɪŋ.ɡʌl.'bæk.slæ.'ʃɛs
tune--_dodge	'tjʉːn.'dɑdʒ
unwandering	ʌn.'wɑn.dʌ.ɹɪŋ
place--or	'pleɪ.sɔː
marriage--the	'mæ.ɹɪdʒ.ðʌ
over-burthened	`əʊ.vʌ.'bəː.ðʌnd
debauch	dɪ.'bɔːtʃ
imagination--i	ɪ.`mæ.dʒɪ.'neɪ.ʃʌ.'naɪ
dancing-school	'dæn.sɪŋ.'skʉːl
pin's	'pɪn.'bæk.slæ.'ʃɛs
read--let	'ɹid.'lɛt
morning--however	'mɔː.nɪŋ.haʊ.'ɛ.vʌ
furioso--i	`fjʊə.ɹɪ.'əʊ.səʊ.'aɪ
mistakes--he'll	mɪ.'steɪks.hi.'bæk.slæ.`ʃɛ.'lɛl
mountain--what	'maʊn.tɪn.'wɑt
cxxvi	`si.`ɛk.'sɛks.`vi.'aɪ
rabelais	'ɹeɪ.bleɪ
letter--i	'lɛ.tʌ.'aɪ
frequently--dined	'fɹi.kwʌnt.lɪ.'daɪnd
monsters--o	'mɑn.stʌ.'zəʊ
fyne	'faɪn
taylor--your	'teɪ.lʌ.jɔː
xxiii	`ɹəʊ.mʌn.'twɛn.tɪ.'θɹi
agreeable--i	ʌ.'ɡɹi.ʌ.bʌ.'laɪ
rhyming--there	'ɹaɪ.mɪŋ.'ðəː
woman--but	'wʊə.mʌn.`bʌt
well-dressed	'wɛl.'dɹɛst
wight--which	'waɪ.'twɪtʃ
pulse--to	'pʌl.stʉː
wylie--i	'waɪ.lɪ.'aɪ
what--on	`wɑ.'tɑn
came--at	'keɪ.mæt
benevolence--some	bʌ.'nɛ.vʌ.lʌns.`sʌm
scotia--i	'skəʊ.ʃʌ.'aɪ
sweetmeats	'swit.mits
gardens--apple-tasting--pear-tasting--plum-judging--apricot-nibbling	'ɡɑ.dʌn.'zæ.pʌl.'teɪ.stɪŋ.'pəː.'teɪ.stɪŋ.'plʌm.'dʒʌ.dʒɪŋ.'eɪ.pɹɪ.`kɑt.'nɪ.blɪŋ
toddy	'tɑ.dɪ
so--nor	`səʊ.'nɔː
kewthon	'kjʉː.θɑn
reg't	'ɹɛdʒ.'bæk.slæʃ.'ti
placide	'plæ.saɪd
loop-ribands	'lʉː.'pɹɪ.bændz
sweet-feeding	'swit.'fi.dɪŋ
afternoon--including	`æf.tʌ.'nʉː.nɪn.'klʉː.dɪŋ
foot--and	'fʊə.tænd
gestations	dʒɛ.'steɪ.ʃʌnz
sent-back	'sɛnt.'bæk
scoundrelism	'skaʊn.dɹɪ.`lɪ.zʌm
inventors--but	ɪn.'vɛn.tʌz.`bʌt
life--so	'laɪf.'səʊ
night--amid	'naɪ.tʌ.'mɪd
publishers--causing	'pʌ.blɪ.ʃʌz.'kɔː.zɪŋ
confronted--nothing	kʌn.'fɹʌn.tɪd.'nʌ.θɪŋ
moss--the	'mɑs.ðʌ
summ'd-up	'sʌm.'bæk.slæʃ.'di.'ʌp
alimentive	ʌ.laɪ.'mɛn.tɪv
world--above	'wəːl.dʌ.'bʌv
badinage	'bæ.dɪ.nɪdʒ
shock--the	'ʃɑk.ðʌ
airish	'əː.ɹɪʃ
middling-long	'mɪd.lɪŋ.'lɑŋ
breaking--the	'bɹeɪ.kɪŋ.ðʌ
working-people--the	'wəː.kɪŋ.'pi.pʌl.ðʌ
high--pulling	'haɪ.'pʊə.lɪŋ
turf-fires--spring	'təːf.'faɪ.ʌz.'spɹɪŋ
bushes--contrasting	'bʊə.ʃɪz.kʌn.'tɹæ.stɪŋ
rattlings	'ɹæt.lɪŋz
sigh--another--a	'saɪ.ʌ.'nʌ.ðʌ.'eɪ
re-wrought	`ɹi.'ɹɔːt
newbern--has	'njʉː.bʌn.'hæz
felton's	'fɛl.tʌn.'bæk.slæ.'ʃɛs
cedar-apples	'si.dʌ.'ɹæ.pʌlz
arbor-vitae	'ɑ.bʌ.'vɪ.ti
rapid-filing	'ɹæ.pɪd.'faɪ.lɪŋ
kill-calf	'kɪl.'kɑf
self-interest	'sɛl.'fɪn.tɹʌst
outshows	aʊ.'tʃəʊz
double-daily	'dʌ.bʌl.'deɪ.lɪ
flunkey	'flʌŋ.kɪ
deity-planted	'deɪ.ʌ.`tɪ.'plæn.tɪd
toutle	'taʊ.tʌl
fail'd--the	'feɪl.'bæk.slæʃ.'di.ðʌ
cat-birds	'kæt.'bəːdz
abroad--with	ʌ.'bɹɔː.dwɪð
proprietor--paid	pɹʌ.'pɹaɪ.ʌ.tʌ.'peɪd
chambers-street	'tʃeɪm.bʌz.'stɹit
tart-sweet	'tɑt.'swit
minerva-like	mɪ.'nəː.vʌ.'laɪk
bushery	'bʊə.ʃʌ.ɹɪ
chiffonier-bags	'tʃɪ.fʌ.nɪ.ʌ.'bæɡz
germinal	'dʒəː.mɪ.nʌl
loathesomest	'ləʊ.θɪ.`səʊ.mʌst
lewes	'lʉːz
winter--the	'wɪn.tʌ.ðʌ
up--keeping	`ʌp.'ki.pɪŋ
answerest	'æn.sʌ.ɹʌst
life-likeness--but	'laɪ.'flaɪk.nʌs.`bʌt
geraint	'ɡɛ.ɹaɪnt
north--nay	'nɔːθ.'neɪ
wealth-forming	'wɛlθ.'fɔː.mɪŋ
desultoriness	di.'sʌl.tʌ.`ɹɪ.nʌs
return-expressions	ɹɪ.'təː.nɛk.'spɹɛ.ʃʌnz
latently	'leɪ.tʌnt.lɪ
desbrosses-st	dɪs.'bɹɑ.sɪz.sʌnt
prevaricates	pɹɪ.'væ.ɹɪ.`keɪts
roll-signing	'ɹəʊl.'saɪ.nɪŋ
expression--it	ɛk.'spɹɛ.ʃʌ.nɪt
back--or	'bæ.kɔː
analostan	'æ.nʌ.`lɑ.stæn
aidancy	'eɪ.dʌn.sɪ
prospero	pɹʌ.'spəː.ɹəʊ
relations--perfect	ɹɪ.'leɪ.ʃʌnz.'pəː.fɛkt
bell-like	'bɛl.'laɪk
prometheus	pɹəʊ.'mi.θɪ.ʌs
heartier	'hɑ.tɪ.ʌ
dilates	daɪ.'leɪts
poems--or	'pəʊ.ɪm.zɔː
hegel's	'hɛ.dʒʌl.'bæk.slæ.'ʃɛs
suspense--for	sʌ.'spɛn.sfɔː
criticise	'kɹɪ.tɪ.`saɪz
rolleston	'ɹəʊ.lɛ.stʌn
more--here	'mɔː.'heɪ.ʌ
friend--to	'fɹɛnd.tʉː
kind--they	'kaɪnd.ðeɪ
abscesses	'æb.sɛ.sɪz
mind--a	'maɪn.'deɪ
ane	'eɪn
legacies--accumulations	'lɛ.ɡʌ.sɪ.zʌ.`kjʉː.mjʊə.'leɪ.ʃʌnz
myself--delved	maɪ.'sɛlf.'dɛlvd
money--some	'mʌ.nɪ.`sʌm
bound--the	'baʊnd.ðʌ
1869	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'naɪn
well-form'd	'wɛl.'fɔːm.'bæk.slæʃ.'di
